vehicle ID,classification,perimeter,avg speed,direction,time of crossing
9,MTR,332.85281229019165,7.234818855929728,up,Tue Dec 17 17:23:17 2019
5,MTR,426.5096664428711,3.813084340578589,up,Tue Dec 17 17:23:18 2019
12,MTR,356.9533175230026,10.372710841140123,up,Tue Dec 17 17:23:18 2019
6,LV,196.42640614509583,15.721749495594189,down,Tue Dec 17 17:23:20 2019
15,LV,343.63960921764374,14.061960238948654,down,Tue Dec 17 17:23:20 2019
10,MTR,341.0538227558136,5.392515588918711,up,Tue Dec 17 17:23:21 2019
14,HV,422.02438521385193,15.721749495594189,down,Tue Dec 17 17:23:22 2019
19,HV,487.52185904979706,12.4145031796152,down,Tue Dec 17 17:23:22 2019
20,MTR,264.911687374115,3.4105263157894736,up,Tue Dec 17 17:23:24 2019
1,MTR,309.8822498321533,3.813084340578589,up,Tue Dec 17 17:23:25 2019
16,LV,244.56854152679443,17.803470046773786,down,Tue Dec 17 17:23:35 2019
28,MTR,231.9827550649643,8.695170117916117,up,Tue Dec 17 17:23:37 2019
25,MTR,195.94112491607666,12.05803142654955,up,Tue Dec 17 17:23:41 2019
32,MTR,199.9827550649643,7.030980119474327,up,Tue Dec 17 17:23:41 2019
21,HV,282.32590091228485,14.669228350114796,down,Tue Dec 17 17:23:44 2019
11,MTR,195.25483322143555,11.439253021735766,up,Tue Dec 17 17:24:05 2019
13,MTR,188.08326029777527,3.813084340578589,up,Tue Dec 17 17:24:05 2019
26,MTR,188.08326029777527,6.148413753949118,up,Tue Dec 17 17:24:05 2019
1,LV,181.49747383594513,13.318531026282926,down,Tue Dec 17 17:24:05 2019
