vehicle ID,classification,perimeter,avg speed,direction,time of crossing
88,HV,214.5269113779068,12.05803142654955,down,Tue Dec 17 19:01:50 2019
76,LV,454.99494767189026,11.439253021735766,down,Tue Dec 17 19:01:52 2019
77,LV,479.5807341337204,3.4105263157894736,down,Tue Dec 17 19:01:52 2019
83,LV,485.3380935192108,7.030980119474327,down,Tue Dec 17 19:01:52 2019
84,LV,272.46803629398346,3.4105263157894736,down,Tue Dec 17 19:01:54 2019
90,LV,299.2964633703232,1.7052631578947368,down,Tue Dec 17 19:01:54 2019
93,LV,266.56854152679443,,down,Tue Dec 17 19:01:55 2019
87,LV,281.8406196832657,3.4105263157894736,down,Tue Dec 17 19:01:58 2019
85,LV,389.39696860313416,4.82321257061982,down,Tue Dec 17 19:01:59 2019
97,LV,566.9777027368546,44.85846995685214,down,Tue Dec 17 19:01:59 2019
82,LV,589.3208485841751,2.41160628530991,down,Tue Dec 17 19:02:00 2019
91,LV,421.8822498321533,1.7052631578947368,down,Tue Dec 17 19:02:00 2019
99,MTR,205.49747383594513,,up,Tue Dec 17 19:02:01 2019
98,LV,409.1959581375122,,down,Tue Dec 17 19:02:01 2019
107,HV,290.56854152679443,13.318531026282926,down,Tue Dec 17 19:02:03 2019
103,LV,397.39696860313416,,down,Tue Dec 17 19:02:05 2019
110,LV,388.08326029777527,,down,Tue Dec 17 19:02:05 2019
110,LV,368.811182141304,,down,Tue Dec 17 19:02:05 2019
111,LV,381.1543279886246,6.148413753949118,down,Tue Dec 17 19:02:05 2019
112,LV,410.811182141304,3.813084340578589,down,Tue Dec 17 19:02:05 2019
113,LV,309.5979790687561,10.23157894736842,down,Tue Dec 17 19:02:06 2019
114,LV,356.911687374115,1.7052631578947368,down,Tue Dec 17 19:02:06 2019
115,LV,306.32590091228485,0.0,down,Tue Dec 17 19:02:06 2019
116,LV,314.911687374115,1.7052631578947368,down,Tue Dec 17 19:02:06 2019
117,LV,321.9827550649643,5.392515588918711,down,Tue Dec 17 19:02:06 2019
118,LV,354.1248904466629,1.7052631578947368,down,Tue Dec 17 19:02:06 2019
118,LV,368.61017167568207,2.41160628530991,down,Tue Dec 17 19:02:07 2019
109,MTR,448.7523070573807,,up,Tue Dec 17 19:02:08 2019
122,HV,219.94112491607666,18.127196017505405,down,Tue Dec 17 19:02:09 2019
123,HV,665.345233798027,,up,Tue Dec 17 19:02:09 2019
121,MTR,231.8406196832657,3.813084340578589,up,Tue Dec 17 19:02:12 2019
